kepoi_name,koi_disposition,koi_period,koi_duration,koi_prad,koi_teq,koi_insol,koi_depth,koi_impact,koi_model_snr
K00899.03,CONFIRMED,15.36845737,2.4714,1.11,332.0,2.86,756.1,0.115,30.9
K00900.01,CONFIRMED,13.81020318,3.048,4.56,833.0,113.75,1309.7,0.791,46.2
K00911.01,CONFIRMED,4.093578461,2.5833,2.85,1182.0,461.07,538.6,0.93,36.4
K00911.02,CONFIRMED,105.145959,8.593,3.43,401.0,6.09,685.4,0.964,15.4
K00912.01,CONFIRMED,10.8484518,2.9993,2.34,499.0,14.66,1675.6,0.21,64.5
K00912.02,CONFIRMED,6.66833241,1.915,1.18,587.0,28.06,362.3,0.644,14.2
K00913.01,CONFIRMED,4.082274889,3.23015,10.55,1016.0,251.48,17859.2,0.093,1669.1
K00914.01,CANDIDATE,3.886655224,3.1646,1.87,1010.0,246.29,581.6,0.649,48.1
K00904.03,CONFIRMED,42.1406089,5.083,1.85,349.0,3.49,895.5,0.045,21.6
K00904.04,CONFIRMED,4.617490562,2.2618,1.62,728.0,66.47,575.8,0.649,28.1
K00904.05,CONFIRMED,10.19849255,2.4283,1.75,559.0,23.11,634.1,0.714,21.4
K00905.01,FALSE POSITIVE,5.795063956,3.2496,4.33,950.0,192.74,1692.9,0.949,119.4
K00906.01,CONFIRMED,7.15681552,2.5882,2.47,782.0,88.23,867.0,0.45,47.7
K00906.02,CONFIRMED,17.64830851,2.0873,2.43,579.0,26.49,763.3,0.653,23.8
K00906.03,CONFIRMED,4.14810719,2.535,1.08,938.0,182.76,175.2,0.093,12.9
K00907.01,CONFIRMED,16.51410989,4.1575,2.72,655.0,43.57,973.5,0.395,55.9
K00907.02,CONFIRMED,30.1329298,5.172,3.14,536.0,19.55,1015.8,0.839,44.8
K00907.03,CONFIRMED,4.79090809,2.603,1.36,990.0,227.24,251.3,0.11,21.2
K00124.02,CONFIRMED,31.71981013,4.819,3.09,743.0,71.97,363.4,0.125,63.1
K00907.04,CONFIRMED,99.6415962,4.448,2.64,360.0,3.97,952.5,0.028,22.7
K00908.01,CONFIRMED,4.708326451,3.16114,10.6,1162.0,431.02,7912.7,0.061,633.4
K00909.01,FALSE POSITIVE,16.37198661,3.8449,540.37,438.0,8.71,4147.6,9.303,54.5
K00910.01,CONFIRMED,5.392026903,2.9804,2.68,850.0,123.33,1151.4,0.314,77.4
